LahmanPlayerID,Year,UniNo,,,
11432,1987,37,,,
1362,1987,37,,,
1361,1987,40,,,
1311,1987,41,,,
1251,1987,42,,,
1275,1987,43,,,
1067,1987,44,,,
1273,1987,45,,,
1347,1987,46,,,
1136,1987,51,,,
1139,1988,1,,,
1155,1988,2,,,
1035,1988,4,,,
1045,1988,6,,,
1390,1988,7,,,
1071,1988,9,,,
1023,1988,10,,,
1114,1988,11,,,
1383,1988,14,,,
1117,1988,15,,,
1020,1988,16,,,
12962,1988,17,,,
1292,1988,18,,,
1019,1988,19,,,
1001,1988,20,,,
1105,1988,21,,,
11469,1988,22,,,
1232,1988,24,,,
11476,1988,25,,,
1325,1988,27,,,
1054,1988,28,,,
1239,1988,29,,,
1339,1988,30,,,
1177,1988,31,,,
1378,1988,32,,,
1203,1988,33,,,
1268,1988,34,,,
1227,1988,35,,,
1204,1988,36,,,
1388,1988,37,,,
11432,1988,37,,,
1528,1988,38,,,
1361,1988,39,,,
1311,1988,41,,,
1251,1988,42,,,
1275,1988,43,,,
1067,1988,44,,,
1347,1988,46,,,
1419,1988,47,,,
1349,1988,48,,,
1206,1988,49,,,
1384,1988,62,,,
1139,1989,1,,,
1446,1989,2,,,
1155,1989,2,,,
1035,1989,4,,,
1450,1989,5,,,
1390,1989,7,,,
1430,1989,8,,,
1436,1989,9,,,
1023,1989,10,,,
1114,1989,11,,,
1471,1989,12,,,
1383,1989,14,,,
1117,1989,15,,,
1020,1989,16,,,
12962,1989,17,,,
1292,1989,18,,,
1019,1989,19,,,
1001,1989,20,,,
1105,1989,21,,,
11469,1989,22,,,
1546,1989,23,,,
1232,1989,24,,,
11476,1989,25,,,
1461,1989,27,,,
1054,1989,28,,,
1268,1989,29,,,
1239,1989,29,,,
1339,1989,30,,,
1177,1989,31,,,
1378,1989,32,,,
1203,1989,33,,,
1227,1989,35,,,
15156,1989,36,,,
11432,1989,37,,,
1388,1989,37,,,
1528,1989,38,,,
1361,1989,39,,,
1067,1989,40,,,
1311,1989,41,,,
1251,1989,42,,,
1275,1989,43,,,
1325,1989,45,,,
1347,1989,46,,,
1419,1989,47,,,
1349,1989,48,,,
1468,1989,50,,,
1474,1989,58,,,
1624,1989,61,,,
1384,1989,62,,,
1495,1990,1,,,
1446,1990,2,,,
1501,1990,3,,,
1035,1990,4,,,
1450,1990,5,,,
1524,1990,6,,,
1390,1990,7,,,
1430,1990,8,,,
1436,1990,9,,,
1114,1990,11,,,
1471,1990,12,,,
1538,1990,12,,,
1020,1990,16,,,
12962,1990,17,,,
1292,1990,18,,,
1019,1990,19,,,
1001,1990,20,,,
1105,1990,21,,,
11476,1990,25,,,
1461,1990,27,,,
1546,1990,28,,,
1239,1990,29,,,
1339,1990,30,,,
1177,1990,31,,,
1378,1990,32,,,
1203,1990,33,,,
1468,1990,34,,,
1227,1990,35,,,
15156,1990,36,,,
1388,1990,37,,,
1528,1990,38,,,
1530,1990,39,,,
1515,1990,40,,,
1311,1990,41,,,
1603,1990,41,,,
1551,1990,42,,,
1275,1990,43,,,
1380,1990,44,,,
1325,1990,45,,,
1347,1990,46,,,
1155,1990,46,,,
1419,1990,47,,,
1349,1990,48,,,
1705,1990,51,,,
1466,1990,56,,,
1558,1990,57,,,
1474,1990,58,,,
13921,1990,59,,,
1624,1990,61,,,
1384,1990,62,,,
1543,1990,64,,,
11472,1990,88,,,
1495,1991,1,,,
1446,1991,2,,,
1347,1991,2,,,
1035,1991,4,,,
1450,1991,5,,,
1595,1991,6,,,
1524,1991,6,,,
1501,1991,7,,,
1430,1991,8,,,
1436,1991,9,,,
1114,1991,11,,,
1471,1991,12,,,
1538,1991,13,,,
1311,1991,15,,,
1493,1991,16,,,
12962,1991,17,,,
1292,1991,18,,,
1001,1991,20,,,
1105,1991,21,,,
11469,1991,22,,,
1627,1991,24,,,
1461,1991,27,,,
1546,1991,28,,,
1239,1991,29,,,
1339,1991,30,,,
1177,1991,31,,,
1378,1991,32,,,
1203,1991,33,,,
1468,1991,34,,,
1613,1991,35,,,
15156,1991,36,,,
1388,1991,37,,,
1528,1991,38,,,
1515,1991,40,,,
1603,1991,41,,,
1551,1991,42,,,
1275,1991,43,,,
1428,1991,44,,,
1380,1991,44,,,
1325,1991,45,,,
1419,1991,47,,,
1349,1991,48,,,
1656,1991,49,,,
1705,1991,51,,,
1604,1991,53,,,
1466,1991,56,,,
1679,1991,56,,,
1558,1991,57,,,
1474,1991,58,,,
1616,1991,60,,,
1624,1991,61,,,
1384,1991,62,,,
1543,1991,64,,,
1605,1991,67,,,
1717,1991,69,,,
1586,1991,71,,,
11472,1991,88,,,
1495,1992,1,,,
1446,1992,2,,,
1347,1992,2,,,
10099,1992,3,,,
1035,1992,4,,,
1450,1992,5,,,
1595,1992,6,,,
1524,1992,6,,,
1501,1992,7,,,
1430,1992,8,,,
1436,1992,9,,,
1426,1992,11,,,
1471,1992,12,,,
1311,1992,15,,,
1695,1992,16,,,
12962,1992,17,,,
1712,1992,18,,,
1001,1992,20,,,
1105,1992,21,,,
11472,1992,23,,,
1627,1992,24,,,
1461,1992,27,,,
1546,1992,28,,,
1239,1992,29,,,
1339,1992,30,,,
1177,1992,31,,,
1378,1992,32,,,
1203,1992,33,,,
1468,1992,34,,,
1613,1992,35,,,
15156,1992,36,,,
1682,1992,37,,,
1528,1992,38,,,
1278,1992,39,,,
1603,1992,41,,,
1551,1992,42,,,
1380,1992,44,,,
1428,1992,44,,,
1325,1992,45,,,
1419,1992,47,,,
1349,1992,48,,,
1656,1992,49,,,
1696,1992,50,,,
1705,1992,51,,,
1604,1992,53,,,
1679,1992,56,,,
1466,1992,56,,,
1474,1992,58,,,
1717,1992,59,,,
1616,1992,60,,,
1624,1992,61,,,
1741,1992,66,,,
12707,1992,72,,,
1760,1993,1,,,
1347,1993,2,,,
10099,1993,3,,,
1450,1993,5,,,
1524,1993,6,,,
1595,1993,6,,,
1501,1993,7,,,
1430,1993,8,,,
1436,1993,9,,,
1426,1993,11,,,
1471,1993,12,,,
1466,1993,13,,,
1311,1993,15,,,
1695,1993,16,,,
1773,1993,17,,,
1712,1993,18,,,
1761,1993,19,,,
1001,1993,20,,,
1105,1993,21,,,
1446,1993,22,,,
11472,1993,23,,,
1627,1993,24,,,
1495,1993,26,,,
1461,1993,27,,,
1546,1993,28,,,
1239,1993,29,,,
1339,1993,30,,,
1177,1993,31,,,
1378,1993,32,,,
1203,1993,33,,,
1468,1993,34,,,
1613,1993,35,,,
15156,1993,36,,,
1557,1993,36,,,
1682,1993,37,,,
12707,1993,39,,,
1757,1993,40,,,
1724,1993,42,,,
1428,1993,44,,,
1380,1993,44,,,
1777,1993,45,,,
1419,1993,47,,,
1656,1993,49,,,
1696,1993,50,,,
1705,1993,51,,,
1604,1993,53,,,
1679,1993,56,,,
1717,1993,59,,,
1624,1993,61,,,
1741,1993,66,,,
1760,1994,1,,,
1347,1994,2,,,
10099,1994,3,,,
1811,1994,4,,,
1450,1994,5,,,
1524,1994,6,,,
1595,1994,6,,,
1501,1994,7,,,
1430,1994,8,,,
1436,1994,9,,,
1426,1994,11,,,
1466,1994,13,,,
1863,1994,15,,,
1695,1994,16,,,
1773,1994,17,,,
1761,1994,19,,,
1105,1994,21,,,
1446,1994,22,,,
11472,1994,23,,,
1627,1994,24,,,
10543,1994,25,,,
1495,1994,26,,,
1864,1994,27,,,
10507,1994,28,,,
1239,1994,29,,,
1846,1994,30,,,
1177,1994,31,,,
1814,1994,32,,,
1468,1994,34,,,
1613,1994,35,,,
1557,1994,36,,,
1682,1994,37,,,
12707,1994,39,,,
1757,1994,40,,,
1724,1994,42,,,
1736,1994,43,,,
1380,1994,44,,,
1428,1994,44,,,
1777,1994,45,,,
1419,1994,47,,,
1656,1994,49,,,
1832,1994,50,,,
1825,1994,52,,,
1604,1994,53,,,
1793,1994,55,,,
1679,1994,56,,,
1806,1994,58,,,
1717,1994,59,,,
1791,1994,60,,,
1624,1994,61,,,
1798,1994,64,,,
1790,1994,65,,,
1741,1994,66,,,
1792,1994,67,,,
1847,1994,68,,,
1613,1995,1,,,
1760,1995,1,,,
1347,1995,2,,,
10099,1995,3,,,
1814,1995,4,,,
1450,1995,5,,,
1524,1995,6,,,
