playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,대학,고교
31196,1196,,,1961,12,3,South Korea,,Pohang,,,,,,,Sung-rae,Kim,,,,185,72,R,R,1984,2000,Yonsei University,,,,,41196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,연세,경북고
40266,10266,,,1986,2,25,South Korea,,Gyeongju,,,,,,,Jun-woo,Jeon,,,,184,72,R,R,2008,2024,Konkuk University,,,,,50266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,건국,경주고
40264,10264,,,1977,1,20,South Korea,,Seoul,,,,,,,Soo-keun,Jung,,,,178,70,L,L,1995,2009,Sehan University,,,,,50264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,세한,덕수상고
31062,1062,,,1954,5,23,South Korea,,Seoul,,,,,,,Jae-bak,Kim,,,,174,68,R,R,1982,1992,Yeungnam University,,,,,41062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,영남,대광고
40574,10574,,,1973,11,27,South Korea,,Seoul,,,,,,,Young-woo,Lee,,,,181,71,L,L,1996,2010,Konkuk University,,,,,50574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,건국,선린상고
41224,11224,,,1995,10,17,South Korea,,Seongnam,,,,,,,Ha-sung,Kim,,,,179,70,R,R,2014,2023,,,,,,51224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,야탑고
40855,10855,,,1989,8,22,South Korea,,Gwangju,,,,,,,Geon-chang,Seo,,,,176,69,L,R,2008,2024,,,,,,50855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,광주제일고
31561,1561,,,1969,1,27,South Korea,,Busan,,,,,,,Jung-tae,Park,,,,174,68,R,R,1991,2004,Kyungsung University,,,,,41561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,경성,동래고
31250,1250,,,1961,4,18,South Korea,,Gwangju,,,,,,,Soon-chul,Lee,,,,173,68,R,R,1985,1998,Yonsei University,,,,,41250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,연세,광주상고
31281,1281,,,1964,3,5,South Korea,,Incheon,,,,,,,Dong-ki,Kim,,,,,,R,R,1986,1996,Inha University,,,,,41281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,인하,인천고
41190,11190,,,1990,2,24,South Korea,,Seoul,,,,,,,Hae-min,Park,,,,180,70,L,R,2013,2024,Hanyang University,,,,,51190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,한양,신일고
31195,1195,,,1961,4,28,South Korea,,Busan,,,,,,,Min-ho,Kim,,,,183,72,L,L,1984,1996,Dongguk University,,,,,41195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,동국,부산고
42995,12995,,,1990,5,24,United States,,,,,,,,,Mel,Rojas Jr,,,,189,74,S,R,2017,2024,,,,,,52995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,
40192,10192,,,1980,6,18,South Korea,,Seoul,,,,,,,Jong-wook,Lee,,,,176,69,L,L,2006,2018,Yeungnam University,,,,,50192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,영남,선린정보고
